StudiumID;StudentID;Studiumbeginn;Alter;Geschlecht;Studiengang;Leistungspunkte_zum_Abschluss;Kuendigungsdatum
31681488;27429279;25.07.2019;46;f;Fernstudium Bachelor of Arts Public Relations;180;23.10.2020
31641090;31242471;07.06.2019;26;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;22.10.2020
31623186;31233348;07.07.2019;36;f;FlexLearning Bachelor Modell;180;20.10.2020
31642632;31243185;09.06.2019;27;m;Betriebswirt;180;20.10.2020
31681236;31222320;24.07.2019;34;f;BA Luftverkehrsmanagement;180;18.10.2020
31657170;31127517;28.06.2019;26;f;Fernstudium Bachelor of Arts Architektur 240 ECTS;180;17.10.2020
31627251;31235628;23.05.2019;30;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;16.10.2020
31620315;27675189;07.07.2019;27;f;Fernstudium Bachelor of Arts Fitnessökonomie;210;16.10.2020
31656216;31235736;07.06.2019;21;f;Bachelor Wirtschaftspsychologie berufsbegleitend;180;15.10.2020
31666260;31253532;10.07.2019;29;f;Fernstudium Bachelor of Arts Pädagogik für Bildung, Beratung und Personalentwicklung;180;14.10.2020
31623519;31233507;12.05.2019;42;f;Fernstudium Bachelor of Arts Physiotherapie;180;14.10.2020
31604244;31224183;07.06.2019;27;f;Fernstudium Bachelor of Arts Public Relations;180;14.10.2020
31628619;30972774;22.05.2019;28;f;Fernstudium Bachelor of Arts Fitnessökonomie;210;14.10.2020
31653099;27623511;23.06.2019;32;m;Fernstudium Bachelor of Arts Pädagogik für Bildung, Beratung und Personalentwicklung;180;12.10.2020
31649019;31241940;07.06.2019;24;f;Bachelor Wirtschaftspsychologie berufsbegleitend;180;11.10.2020
31636566;31240443;02.06.2019;39;f;Fernstudium Bachelor of Arts Fitnessökonomie;210;10.10.2020
31642653;31243224;09.06.2019;32;f;Bachelor Kindheitspädagogik berufsbegleitend;180;09.10.2020
31651632;31247064;22.06.2019;26;m;Fernstudium Bachelor of Arts Modemanagement;180;08.10.2020
31704345;31270566;07.05.2019;30;m;Mediendesign;180;07.10.2020
31675197;31256028;17.07.2019;27;m;FlexLearning Bachelor Modell;180;06.10.2020
31662558;31251783;05.07.2019;28;f;Fernstudium Bachelor of Arts Sozialmanagement;180;06.10.2020
31596228;31220040;08.05.2019;36;f;Fernstudium Bachelor of Arts Modemanagement;180;05.10.2020
31683168;31259940;26.07.2019;32;m;Bachelor Informatik berufsbegleitend;180;05.10.2020
31678401;31257612;20.07.2019;34;m;FlexLearning Bachelor Modell;180;03.10.2020
31648755;31245903;20.06.2019;40;m;Fernstudium Bachelor of Arts Sozialmanagement;180;02.10.2020
31637961;31074033;07.06.2019;24;m;Bachelor Wirtschaftspsychologie berufsbegleitend;180;02.10.2020
31631169;31237635;25.05.2019;33;f;Fernstudium Bachelor of Arts Modemanagement;180;01.10.2020
31649070;31246026;20.06.2019;54;m;FlexLearning Bachelor Modell;180;30.09.2020
31643790;31243698;12.06.2019;29;m;Personalmanagement;180;30.09.2020
31910430;31344105;07.05.2019;29;m;Bachelor Informatik berufsbegleitend;180;30.09.2020
31646280;31244892;14.06.2019;23;f;Bachelor Personalmanagement berufsbegleitend;180;30.09.2020
31673040;31254993;13.07.2019;23;f;Fernstudium Bachelor of Arts Sozialmanagement;180;29.09.2020
31621755;31232514;07.06.2019;24;f;Bachelor Personalmanagement berufsbegleitend;180;29.09.2020
31658274;31077168;29.06.2019;47;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;28.09.2020
31665057;31253022;06.08.2019;23;f;Bachelor Psychologie berufsbegleitend;180;28.09.2020
31641681;31242693;08.06.2019;26;m;Fernstudium Bachelor of Science Kommunikationspsychologie;180;27.09.2020
31627299;31233282;12.05.2019;40;f;FS Mitarbeiterkurse;180;27.09.2020
31628130;31236060;05.06.2019;24;f;Zusatzmodule DS;180;26.09.2020
31726143;31282008;07.05.2019;37;f;FS Mitarbeiterkurse;180;26.09.2020
31602039;31223109;08.05.2019;32;f;Betriebswirt Gesundheitsmanagement;180;26.09.2020
31878300;30894378;07.05.2019;25;m;Fernstudium Bachelor of Laws Wirtschaftsrecht;180;25.09.2020
31640340;31242189;06.06.2019;36;m;Betriebswirt;180;25.09.2020
31629369;31236648;25.05.2019;27;m;Bachelor Personalmanagement berufsbegleitend;180;25.09.2020
31607970;30897198;21.05.2019;23;f;BA Internationales Luftverkehrsmanagement;180;23.09.2020
31654041;31248060;26.06.2019;27;f;FS Mitarbeiterkurse;180;23.09.2020
31642788;31243269;06.08.2019;44;f;Fernstudium und Online International Bachelor of Science Data Science 180 ECTS;180;21.09.2020
31629744;31236873;25.05.2019;35;f;Bachelor International Management berufsbegleitend;90;21.09.2020
31632903;30822348;29.05.2019;24;f;BA Internationales Luftverkehrsmanagement;180;19.09.2020
31636704;31205301;02.06.2019;27;f;BA Internationales Luftverkehrsmanagement;180;18.09.2020
31653189;31209090;23.06.2019;24;f;BA Luftverkehrsmanagement;180;18.09.2020
31638972;31241553;07.06.2019;26;m;Fernstudium Bachelor of Arts Fitnessökonomie;210;18.09.2020
31622703;31059768;11.05.2019;22;f;Bachelor Personalmanagement berufsbegleitend;180;17.09.2020
31635897;31240104;07.06.2019;28;m;Tourismuswirtschaft;180;16.09.2020
31623639;31233585;04.06.2019;41;f;Bachelor Personalmanagement berufsbegleitend;180;15.09.2020
31650648;31246578;21.06.2019;26;f;Orientierungsstudium Bachelor of Arts E-Commerce;180;14.09.2020
31626684;31235298;18.05.2019;29;m;Fernstudium Bachelor of Arts Sozialmanagement;180;11.09.2020
