StudiumID;StudentID;Datum;ects_gathered
31595937;30647718;02.01.2021;5
31595937;30647718;17.02.2021;5
31595937;30647718;18.02.2021;5
31595937;30647718;25.02.2021;5
31595937;30647718;28.03.2021;5
31595976;31220181;13.06.2019;8
31595976;31220181;17.06.2019;5
31595976;31220181;30.07.2019;5
31595976;31220181;20.11.2019;5
31595976;31220181;22.11.2019;5
31595976;31220181;30.01.2020;5
31595976;31220181;01.03.2020;5
31595976;31220181;21.04.2020;5
31595976;31220181;04.07.2020;5
31595976;31220181;19.07.2020;5
31595976;31220181;02.10.2020;5
31595976;31220181;09.10.2020;5
31595976;31220181;18.12.2020;5
31595976;31220181;18.01.2021;5
31595976;31220181;11.04.2021;10
31596228;31220040;08.05.2019;20
31596228;31220040;03.07.2019;5
31596228;31220040;26.08.2019;5
31596228;31220040;07.12.2019;5
31596378;31220490;08.09.2019;5
31596378;31220490;01.10.2019;5
31596378;31220490;24.11.2019;5
31596378;31220490;21.12.2019;5
31596378;31220490;19.01.2020;5
31596378;31220490;28.02.2020;5
31596378;31220490;03.04.2020;5
31596378;31220490;09.04.2020;5
31596378;31220490;15.05.2020;5
31596378;31220490;27.05.2020;5
31596378;31220490;10.06.2020;5
31596378;31220490;27.06.2020;5
31596378;31220490;02.08.2020;5
31596378;31220490;13.09.2020;5
31596378;31220490;20.11.2020;5
31596378;31220490;12.12.2020;5
31596378;31220490;06.02.2021;5
31596483;31220547;26.07.2019;10
31596633;31220631;11.05.2019;9
31596894;31220688;12.08.2019;5
31596894;31220688;21.10.2019;5
31596894;31220688;27.11.2019;5
31596894;31220688;28.11.2019;5
31596894;31220688;06.12.2019;5
31596894;31220688;25.12.2019;5
31596894;31220688;25.01.2020;10
31596894;31220688;06.04.2020;5
31596894;31220688;29.06.2020;5
31596894;31220688;12.08.2020;5
31596894;31220688;15.09.2020;5
31596894;31220688;27.10.2020;5
31596894;31220688;05.01.2021;5
